n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,f1_score
20,5,5,2,0.9,0.9090909090909091
30,3,5,2,0.9,0.9090909090909091
10,3,10,2,0.9,0.9090909090909091
10,5,10,2,0.9,0.9090909090909091
20,3,10,2,0.9,0.9090909090909091
20,5,10,2,0.9,0.9090909090909091
30,3,10,2,0.9,0.9090909090909091
30,5,10,2,0.9,0.9090909090909091
10,3,2,4,0.9,0.9090909090909091
10,5,2,4,0.9,0.9090909090909091
20,3,2,4,0.9,0.9090909090909091
20,5,2,4,0.9,0.9090909090909091
30,3,2,4,0.9,0.9090909090909091
30,5,2,4,0.9,0.9090909090909091
10,3,5,4,0.9,0.9090909090909091
10,5,5,4,0.9,0.9090909090909091
20,3,5,4,0.9,0.9090909090909091
20,5,5,4,0.9,0.9090909090909091
30,3,5,4,0.9,0.9090909090909091
30,5,5,4,0.9,0.9090909090909091
10,3,10,4,0.9,0.9090909090909091
10,5,10,4,0.9,0.9090909090909091
20,3,10,4,0.9,0.9090909090909091
20,5,10,4,0.9,0.9090909090909091
30,3,10,4,0.9,0.9090909090909091
30,5,5,2,0.9,0.9090909090909091
30,5,10,4,0.9,0.9090909090909091
20,3,10,1,0.9,0.9090909090909091
30,3,10,1,0.9,0.9090909090909091
20,3,5,1,0.9,0.9090909090909091
20,5,5,1,0.9,0.9090909090909091
30,3,5,1,0.9,0.9090909090909091
30,5,5,1,0.9,0.9090909090909091
10,3,10,1,0.9,0.9090909090909091
10,5,10,1,0.9,0.9090909090909091
20,3,5,2,0.9,0.9090909090909091
20,5,10,1,0.9,0.9090909090909091
30,5,10,1,0.9,0.9090909090909091
30,5,2,1,0.9,0.9090909090909091
30,3,2,1,0.9,0.9090909090909091
20,5,2,1,0.9,0.9090909090909091
20,3,2,2,0.9,0.9090909090909091
20,5,2,2,0.9,0.9090909090909091
30,3,2,2,0.9,0.9090909090909091
30,5,2,2,0.9,0.9090909090909091
20,3,2,1,0.9,0.9090909090909091
10,5,5,2,0.9,0.9090909090909091
10,5,5,1,0.9,0.9090909090909091
10,5,2,1,0.8,0.8
10,3,5,1,0.8,0.8
10,3,2,2,0.8,0.8
10,5,2,2,0.8,0.8
10,3,5,2,0.8,0.8
10,3,2,1,0.8,0.8
