n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.2857142857142857,0.4444444444444444
20,3,0.01,0.2857142857142857,0.4444444444444444
20,5,0.01,0.2857142857142857,0.4444444444444444
30,3,0.01,0.2857142857142857,0.4444444444444444
30,5,0.01,0.2857142857142857,0.4444444444444444
10,3,0.05,0.2857142857142857,0.4444444444444444
10,5,0.05,0.2857142857142857,0.4444444444444444
10,5,0.01,0.2857142857142857,0.4444444444444444
10,5,0.1,0.14285714285714285,0.0
30,3,0.1,0.14285714285714285,0.0
20,5,0.1,0.14285714285714285,0.0
20,3,0.1,0.14285714285714285,0.0
20,5,0.05,0.14285714285714285,0.0
10,3,0.1,0.14285714285714285,0.0
30,5,0.05,0.14285714285714285,0.0
30,3,0.05,0.14285714285714285,0.0
20,3,0.05,0.14285714285714285,0.0
30,5,0.1,0.14285714285714285,0.0
