learning_rate,epochs,context_size,accuracy,f1_score
0.05,10.0,5.0,0.5555555555555556,0.3333333333333333
0.05,10.0,3.0,0.6111111111111112,0.2222222222222222
0.1,10.0,3.0,0.2222222222222222,0.125
0.001,10.0,3.0,0.5555555555555556,0.0
0.001,30.0,5.0,0.6111111111111112,0.0
0.1,30.0,5.0,0.6111111111111112,0.0
0.1,10.0,5.0,0.6111111111111112,0.0
0.05,50.0,5.0,0.5555555555555556,0.0
0.05,30.0,5.0,0.6111111111111112,0.0
0.001,50.0,5.0,0.6111111111111112,0.0
0.001,10.0,5.0,0.6111111111111112,0.0
0.001,30.0,3.0,0.5,0.0
0.1,50.0,3.0,0.5555555555555556,0.0
0.1,30.0,3.0,0.6111111111111112,0.0
0.05,50.0,3.0,0.5,0.0
0.05,30.0,3.0,0.6111111111111112,0.0
0.001,50.0,3.0,0.5555555555555556,0.0
0.1,50.0,5.0,0.6111111111111112,0.0
